class_number; class_duration_minutes; class_description; total_hours_to_this_point; course_percentage_to_this_point; 
387; 48;  Level 6 - OAuth 2.0 & How to Implement Sign In with Google; 44hr 19min; 66.47 %; 
388; 14;  Finishing Up the App - Letting Users Submit Secrets; 44hr 33min; 66.83 %; 
389; 1;  Download the Completed Project Code; 44hr 34min; 66.85 %; 
390; 2;  Tip from Angela - How to Work as a Freelancer; 44hr 36min; 66.9 %; 
391; 7;  What is React?; 44hr 43min; 67.07 %; 
392; 2;  What we will make in this React module; 44hr 45min; 67.12 %; 
393; 6;  Introduction to Code Sandbox and the Structure of the Module; 44hr 51min; 67.27 %; 
394; 16;  Introduction to JSX and Babel; 45hr 7min; 67.67 %; 
395; 8;  JSX Code Practice; 45hr 15min; 67.88 %; 
396; 12;  Javascript Expressions in JSX & ES6 Template Literals; 45hr 27min; 68.17 %; 
397; 9;  Javascript Expressions in JSX Practice; 45hr 36min; 68.4 %; 
398; 17;  JSX Attributes & Styling React Elements; 45hr 53min; 68.83 %; 
399; 9;  Inline Styling for React Elements; 46hr 2min; 69.05 %; 
400; 10;  React Styling Practice; 46hr 12min; 69.3 %; 
401; 16;  React Components; 46hr 28min; 69.7 %; 
402; 5;  React Components Practice; 46hr 33min; 69.83 %; 
403; 11;  Javascript ES6 - Import, Export and Modules; 46hr 44min; 70.1 %; 
404; 4;  Javascript ES6 Import, Export and Modules Practice; 46hr 48min; 70.2 %; 
405; 14;  [Windows]? Local Environment Setup for React Development; 47hr 2min; 70.55 %; 
406; 14;  [Mac] Local Environment Setup for React Development?; 47hr 16min; 70.9 %; 
407; 1;  Newer Versions of Node Troubleshooting; 47hr 17min; 70.93 %; 
408; 5;  Keeper App Project - Part 1 Challenge; 47hr 22min; 71.05 %; 
409; 14;  Keeper App Part 1 Solution; 47hr 36min; 71.4 %; 
410; 17;  React Props; 47hr 53min; 71.83 %; 
411; 13;  React Props Practice; 48hr 6min; 72.15 %; 
412; 17;  React DevTools; 48hr 23min; 72.58 %; 
413; 10;  Mapping Data to Components; 48hr 33min; 72.82 %; 
414; 18;  Mapping Data to Components? Practice; 48hr 51min; 73.28 %; 
415; 20;  Javascript ES6 Map/Filter/Reduce; 49hr 11min; 73.78 %; 
416; 10;  Javascript ES6 Arrow functions; 49hr 21min; 74.02 %; 
417; 10;  Keeper App Project - Part 2; 49hr 31min; 74.28 %; 
418; 19;  React Conditional Rendering with the Ternary Operator & AND Operator; 49hr 50min; 74.75 %; 
419; 7;  Conditional Rendering Practice; 49hr 57min; 74.92 %; 
420; 10;  State in React - Declarative vs. Imperative Programming; 50hr 7min; 75.17 %; 
421; 18;  React Hooks - useState; 50hr 25min; 75.62 %; 
422; 7;  useState Hook Practice; 50hr 32min; 75.8 %; 
423; 18;  Javascript ES6 Object & Array Destructuring; 50hr 50min; 76.25 %; 
424; 6;  Javascript ?ES6 Destructuring Challenge Solution; 50hr 56min; 76.4 %; 
425; 11;  Event Handling in React; 51hr 7min; 76.68 %; 
426; 14;  React Forms; 51hr 21min; 77.03 %; 
427; 6;  Class Components vs. Functional Components; 51hr 27min; 77.18 %; 
428; 20;  Changing Complex State; 51hr 47min; 77.68 %; 
429; 7;  Changing Complex State Practice; 51hr 54min; 77.85 %; 
430; 11;  Javascript ES6 Spread Operator; 52hr 5min; 78.12 %; 
431; 12;  Javascript ES6 Spread Operator Practice; 52hr 17min; 78.42 %; 
432; 23;  Managing a Component Tree; 52hr 40min; 79 %; 
433; 8;  Managing a Component Tree Practice; 52hr 48min; 79.2 %; 
434; 25;  Keeper App Project - Part 3; 53hr 13min; 79.83 %; 
435; 17;  React Dependencies & Styling the Keeper App; 53hr 30min; 80.25 %; 
436; 2;  Tip from Angela - How to Build Your Own Product; 53hr 32min; 80.3 %; 
437; 8;  What is Web3?; 53hr 40min; 80.5 %; 
438; 26;  How does the Blockchain actually work?; 54hr 6min; 81.15 %; 
439; 9;  What are DApps (Decentralised Apps) and how do you develop them?; 54hr 15min; 81.38 %; 
440; 9;  What is the Internet Computer (ICP)?; 54hr 24min; 81.6 %; 
441; 1;  Read Me!; 54hr 25min; 81.62 %; 
442; 7;  [Mac Users] Installation and Setup for Web3 Development; 54hr 32min; 81.8 %; 
443; 13;  [Windows Users] Installation and Setup for Web3 Development; 54hr 45min; 82.12 %; 
444; 2;  What You'll Build - DBANK (Inspired by Compound); 54hr 47min; 82.17 %; 
445; 13;  Introduction to the Motoko Language; 55hr; 82.5 %; 
446; 16;  Motoko Functions and the Candid User Interface; 55hr 16min; 82.9 %; 
447; 6;  Motoko Conditionals and Type Annotations; 55hr 22min; 83.05 %; 
448; 8;  Query vs. Update Methods; 55hr 30min; 83.25 %; 
449; 8;  Orthogonal Persistance; 55hr 38min; 83.45 %; 
450; 18;  Tracking Time and Calculating Compound Interest; 55hr 56min; 83.9 %; 
451; 8;  Adding HTML and CSS to Create the Frontend for DBANK; 56hr 4min; 84.1 %; 
452; 27;  Connecting the Motoko Backend to our JS Frontend; 56hr 31min; 84.78 %; 
453; 1;  Where to Get Help and Support for Development on the Internet Computer; 56hr 32min; 84.8 %; 
454; 7;  What are Cycles and the ICP Token?; 56hr 39min; 84.97 %; 
455; 1;  No Cycles, No Problems!; 56hr 40min; 85 %; 
456; 5;  How to Claim Free Cycles from Dfinity; 56hr 45min; 85.12 %; 
457; 3;  How to Deploy to the ICP Network; 56hr 48min; 85.2 %; 
458; 6;  How to Convert ICP into Cycles?; 56hr 54min; 85.35 %; 
459; 8;  [Optional] How to Deploy a Static Website onto the ICP Blockchain for Hosting; 57hr 2min; 85.55 %; 
460; 11;  How to Configure a DFX Created Project to Use React; 57hr 13min; 85.82 %; 
461; 16;  Storing Data on a Canister; 57hr 29min; 86.22 %; 
462; 12;  Retrieving Data from a Canister; 57hr 41min; 86.52 %; 
463; 17;  Deleting and Persistance; 57hr 58min; 86.95 %; 
